"","BPS_ID","EVT_ID","freq","acres","GROUPVEG","bps_acres","EVT_PHYS","evt_acres"
"1",11,7292,959857,213467,"BPS  Open Water",213467,"EVT  Open Water",213467
"2",31,9001,10009637,2226092,"BPS  Barren-Rock/Sand/Clay",2905993,"EVT  Sparsely Vegetated",3342909
"3",31,9004,702357,156201,"BPS  Barren-Rock/Sand/Clay",2905993,"EVT  Sparsely Vegetated",180705
"4",31,9006,14,3,"BPS  Barren-Rock/Sand/Clay",2905993,"EVT  Sparsely Vegetated",8
"5",31,9009,2043360,454433,"BPS  Barren-Rock/Sand/Clay",2905993,"EVT  Sparsely Vegetated",966311
"6",31,9018,310897,69142,"BPS  Barren-Rock/Sand/Clay",2905993,"EVT  Sparsely Vegetated",221322
"7",31,9033,562,125,"BPS  Barren-Rock/Sand/Clay",2905993,"EVT  Sparsely Vegetated",1685
"8",31,9147,2,0,"BPS  Barren-Rock/Sand/Clay",2905993,"EVT  Sparsely Vegetated",1
"9",385,7019,2,0,"BPS  Sparse",1012,"EVT  Conifer",99557
"10",385,7082,6,1,"BPS  Sparse",1012,"EVT  Shrubland",2175
"11",385,7108,7,2,"BPS  Sparse",1012,"EVT  Shrubland",7
"12",385,9001,2635,586,"BPS  Sparse",1012,"EVT  Sparsely Vegetated",3342909
"13",385,9004,17,4,"BPS  Sparse",1012,"EVT  Sparsely Vegetated",180705
"14",385,9009,1839,409,"BPS  Sparse",1012,"EVT  Sparsely Vegetated",966311
"15",385,9033,43,10,"BPS  Sparse",1012,"EVT  Sparsely Vegetated",1685
"16",386,7016,2,0,"BPS  Grassland",4,"EVT  Conifer",8098862
"17",386,7102,4,1,"BPS  Grassland",4,"EVT  Shrubland",1885607
"18",386,7107,11,2,"BPS  Grassland",4,"EVT  Shrubland",708350
"19",387,7016,127,28,"BPS  Grassland",264,"EVT  Conifer",8098862
"20",387,7064,1,0,"BPS  Grassland",264,"EVT  Shrubland",529966
"21",387,7080,483,107,"BPS  Grassland",264,"EVT  Shrubland",2980217
"22",387,7081,65,14,"BPS  Grassland",264,"EVT  Shrubland",2294296
"23",387,7102,133,30,"BPS  Grassland",264,"EVT  Shrubland",1885607
"24",387,7126,1,0,"BPS  Grassland",264,"EVT  Shrubland",653557
"25",387,7127,99,22,"BPS  Grassland",264,"EVT  Shrubland",1360767
"26",387,7135,1,0,"BPS  Grassland",264,"EVT  Grassland",152480
"27",387,7153,9,2,"BPS  Grassland",264,"EVT  Shrubland",221494
"28",387,7295,75,17,"BPS  Grassland",264,"EVT  Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",26181
"29",387,7296,24,5,"BPS  Grassland",264,"EVT  Developed-Low Intensity",47642
"30",387,7297,8,2,"BPS  Grassland",264,"EVT  Developed-Medium Intensity",23716
"31",387,7298,5,1,"BPS  Grassland",264,"EVT  Developed-High Intensity",7770
"32",387,7299,43,10,"BPS  Grassland",264,"EVT  Developed-Roads",278329
"33",387,7903,1,0,"BPS  Grassland",264,"EVT  Developed",24110
"34",387,7904,28,6,"BPS  Grassland",264,"EVT  Developed",123399
"35",387,7921,1,0,"BPS  Grassland",264,"EVT  Developed",4404
"36",387,7922,1,0,"BPS  Grassland",264,"EVT  Developed",463
