"","TransitionGroupID","Model_Code","annual_probability","BpS_Name","VALUE","ACRES","REL_PERCENT","annual_dist_acres"
"1","All Fire","10110_16_23_24",0.0374446,"Rocky Mountain Aspen Forest and Woodland",1009,165617,0.5,6201.4623182
"2","All Fire","10110_16_23_24",0.0374446,"Rocky Mountain Aspen Forest and Woodland",965,84265,0.2,3155.269219
"3","All Fire","10110_16_23_24",0.0374446,"Rocky Mountain Aspen Forest and Woodland",1113,30,0,1.123338
"4","All Fire","10110_22",0.0060602,"Rocky Mountain Aspen Forest and Woodland",879,5029,0,30.4767458
"5","All Fire","10110_28",0.0084652,"Rocky Mountain Aspen Forest and Woodland",1146,6835,0,57.859642
"6","All Fire","10120_16_27",0.019869,"Rocky Mountain Bigtooth Maple Ravine Woodland",966,6990,0,138.88431
"7","All Fire","10160_15_28",0.0080608,"Colorado Plateau Pinyon-Juniper Woodland",1147,607277,1.8,4895.1384416
"8","All Fire","10160_15_28",0.0080608,"Colorado Plateau Pinyon-Juniper Woodland",1182,1265,0,10.196912
"9","All Fire","10160_16_23_24_25",0.0078524,"Colorado Plateau Pinyon-Juniper Woodland",1010,5557216,16.5,43637.4829184
"10","All Fire","10160_16_23_24_25",0.0078524,"Colorado Plateau Pinyon-Juniper Woodland",967,571369,1.7,4486.6179356
"11","All Fire","10160_16_23_24_25",0.0078524,"Colorado Plateau Pinyon-Juniper Woodland",1114,65434,0.2,513.8139416
"12","All Fire","10160_17",0.0078456,"Colorado Plateau Pinyon-Juniper Woodland",1080,238,0,1.8672528
"13","All Fire","10160_22",0.007225,"Colorado Plateau Pinyon-Juniper Woodland",880,32161,0.1,232.363225
"14","All Fire","10190_13_14",0.00641,"Great Basin Pinyon-Juniper Woodland",492,1,0,0.00641
"15","All Fire","10190_15",0.0063906,"Great Basin Pinyon-Juniper Woodland",1183,22,0,0.1405932
"16","All Fire","10190_6_7_9_12_16_17_18_19",0.0022394,"Great Basin Pinyon-Juniper Woodland",968,25064,0.1,56.1283216
"17","All Fire","10190_6_7_9_12_16_17_18_19",0.0022394,"Great Basin Pinyon-Juniper Woodland",1081,53,0,0.1186882
"18","All Fire","10230_14_15_24_25",0.0431672,"Madrean Encinal",1115,189,0,8.1586008
"19","All Fire","10230_14_15_24_25",0.0431672,"Madrean Encinal",1184,0,0,0
"20","All Fire","10240_14_15_24",0.0423804,"Madrean Lower Montane Pine-Oak Forest and Woodland",1116,19,0,0.8052276
"21","All Fire","10250_14_15_24_25_26",0.0215966,"Madrean Pinyon-Juniper Woodland",1186,6,0,0.1295796
"22","All Fire","10490_16_22",0.004791,"Rocky Mountain Foothill Limber Pine-Juniper Woodland",881,6000,0,28.746
"23","All Fire","10490_16_22",0.004791,"Rocky Mountain Foothill Limber Pine-Juniper Woodland",969,14,0,0.067074
"24","All Fire","10490_19_20_21_23_28_29",0.0025256,"Rocky Mountain Foothill Limber Pine-Juniper Woodland",1011,584,0,1.4749504
"25","All Fire","10490_19_20_21_23_28_29",0.0025256,"Rocky Mountain Foothill Limber Pine-Juniper Woodland",1148,408,0,1.0304448
"26","All Fire","10500_16_23_28",0.0081052,"Rocky Mountain Lodgepole Pine Forest",970,3086,0,25.0126472
"27","All Fire","10500_16_23_28",0.0081052,"Rocky Mountain Lodgepole Pine Forest",1012,18,0,0.1458936
"28","All Fire","10500_16_23_28",0.0081052,"Rocky Mountain Lodgepole Pine Forest",1149,24,0,0.1945248
"29","All Fire","10510_15_16_17_22_23_24_25",0.0934938,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",1013,380165,1.1,35543.070477
"30","All Fire","10510_15_16_17_22_23_24_25",0.0934938,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",971,193020,0.6,18046.173276
"31","All Fire","10510_15_16_17_22_23_24_25",0.0934938,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",883,566,0,52.9174908
"32","All Fire","10510_15_16_17_22_23_24_25",0.0934938,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",1118,1474,0,137.8098612
"33","All Fire","10510_28",0.0538472,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",1150,12195,0,656.666604
"34","All Fire","10520_16_23_24",0.0301954,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",972,56426,0.2,1703.8056404
"35","All Fire","10520_16_23_24",0.0301954,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",1014,33485,0.1,1011.092969
"36","All Fire","10520_16_23_24",0.0301954,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",1119,1925,0,58.126145
"37","All Fire","10520_28",0.0184546,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",1151,2384,0,43.9957664
"38","All Fire","10540_16_23_24",0.0586996,"Southern Rocky Mountain Ponderosa Pine Woodland",973,265253,0.8,15570.2449988
"39","All Fire","10540_16_23_24",0.0586996,"Southern Rocky Mountain Ponderosa Pine Woodland",1015,285404,0.8,16753.1006384
"40","All Fire","10540_16_23_24",0.0586996,"Southern Rocky Mountain Ponderosa Pine Woodland",1120,1711,0,100.4350156
"41","All Fire","10540_17",0.0671124,"Southern Rocky Mountain Ponderosa Pine Woodland",1085,1,0,0.0671124
"42","All Fire","10540_22",0.0789302,"Southern Rocky Mountain Ponderosa Pine Woodland",884,2497,0,197.0887094
"43","All Fire","10540_28",0.0496688,"Southern Rocky Mountain Ponderosa Pine Woodland",1152,52835,0.2,2624.251048
"44","All Fire","10550_15_28",0.0072968,"Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",1153,52,0,0.3794336
"45","All Fire","10550_16_23_24",0.0048182,"Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",974,27240,0.1,131.247768
"46","All Fire","10550_16_23_24",0.0048182,"Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",1016,8848,0,42.6314336
"47","All Fire","10550_16_23_24",0.0048182,"Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",1121,77,0,0.3710014
"48","All Fire","10550_21_22",0.0030068,"Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",885,887,0,2.6670316
"49","All Fire","10560_15_28",0.0072868,"Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland",1154,0,0,0
"50","All Fire","10560_16_23",0.0048518,"Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland",975,36,0,0.1746648
"51","All Fire","10560_16_23",0.0048518,"Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland",1017,76,0,0.3687368
"52","All Fire","10570_12_16",0.0069324,"Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland",976,82,0,0.5684568
"53","All Fire","10570_28",0.0068034,"Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland",1155,18,0,0.1224612
"54","All Fire","10590_24_28",0.0079486,"Southern Rocky Mountain Pinyon-Juniper Woodland",1122,428,0,3.4020008
"55","All Fire","10590_24_28",0.0079486,"Southern Rocky Mountain Pinyon-Juniper Woodland",1156,7672,0,60.9816592
"56","All Fire","10610_22_27_28",0.0348958,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland",1157,4599,0,160.4857842
"57","All Fire","10611_16_23_24",0.0980794,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland - Low Elevation",977,41007,0.1,4021.9419558
"58","All Fire","10611_16_23_24",0.0980794,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland - Low Elevation",1019,35639,0.1,3495.4517366
"59","All Fire","10611_16_23_24",0.0980794,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland - Low Elevation",1123,379,0,37.1720926
"60","All Fire","10612_16_23",0.0307444,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland - High Elevation",978,84158,0.2,2587.3872152
"61","All Fire","10612_16_23",0.0307444,"Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland - High Elevation",1020,10593,0,325.6754292
"62","All Fire","10620_16_23",0.0154918,"Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland",979,31269,0.1,484.4130942
"63","All Fire","10620_16_23",0.0154918,"Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland",1021,24042,0.1,372.4538556
"64","All Fire","10620_22_28",0.0171456,"Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland",888,6459,0,110.7434304
"65","All Fire","10620_6_12_17_18",0.014307,"Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland",1088,4,0,0.057228
"66","All Fire","10640_15_16_17_23_24_27_28",0.012737,"Colorado Plateau Mixed Low Sagebrush Shrubland",1022,419197,1.2,5339.312189
"67","All Fire","10640_15_16_17_23_24_27_28",0.012737,"Colorado Plateau Mixed Low Sagebrush Shrubland",1124,243541,0.7,3101.981717
"68","All Fire","10640_15_16_17_23_24_27_28",0.012737,"Colorado Plateau Mixed Low Sagebrush Shrubland",980,30393,0.1,387.115641
"69","All Fire","10640_15_16_17_23_24_27_28",0.012737,"Colorado Plateau Mixed Low Sagebrush Shrubland",1159,20743,0.1,264.203591
