"","VALUE","Freq","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",11,959857,"Open Water",0,0,255,0,0,1,213467,0.7
"2",13,44111,"Developed-Upland Deciduous Forest",64,61,168,0.25098,0.239216,0.658824,9810,0
"3",14,62565,"Developed-Upland Evergreen Forest",68,79,137,0.266667,0.309804,0.537255,13914,0
"4",15,3465,"Developed-Upland Mixed Forest",102,119,205,0.4,0.466667,0.803922,771,0
"5",16,108425,"Developed-Upland Herbaceous",122,142,245,0.478431,0.556863,0.960784,24113,0.1
"6",17,555058,"Developed-Upland Shrubland",158,170,215,0.619608,0.666667,0.843137,123442,0.4
"7",22,214221,"Developed - Low Intensity",255,122,143,1,0.478431,0.560784,47642,0.1
"8",23,106640,"Developed - Medium Intensity",253,44,79,0.992157,0.172549,0.309804,23716,0.1
"9",24,34940,"Developed - High Intensity",173,0,28,0.678431,0,0.109804,7770,0
"10",25,1251509,"Developed-Roads",1,1,1,0.003921,0.003921,0.003921,278329,0.9
"11",31,13066829,"Barren",191,191,191,0.74902,0.74902,0.74902,2905993,9
"12",32,117723,"Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",230,232,250,0.901961,0.909804,0.980392,26181,0.1
"13",61,1600,"NASS-Vineyard",168,0,132,0.658824,0,0.517647,356,0
"14",63,116060,"NASS-Row Crop-Close Grown Crop",255,245,140,1,0.960784,0.54902,25811,0.1
"15",64,358881,"NASS-Row Crop",250,255,119,0.980392,1,0.466667,79813,0.2
"16",65,1913974,"NASS-Close Grown Crop",255,237,119,1,0.929412,0.466667,425658,1.3
"17",68,311682,"NASS-Wheat",250,227,163,0.980392,0.890196,0.639216,69316,0.2
"18",100,8124966,"Sparse Vegetation Canopy",122,127,117,0.478431,0.498039,0.458824,1806949,5.6
"19",101,5694178,"Tree Height = 1 meter",204,255,153,0.8,1,0.6,1266355,3.9
"20",102,4427967,"Tree Height = 2 meters",199,250,147,0.780392,0.980392,0.576471,984756,3.1
